id;lon;lat;access;addr:city;addr:housename;addr:housenumber;addr:postcode;addr:street;alt_name;amenity;building;capacity;changeset;contact:facebook;contact:phone;contact:website;cuisine;cuisine:fr;dance:style;description;designation;diet:halal;diet:vegan;diet:vegetarian;drive_through;email;facebook:page;fast_food;fax;fixme;internet_access;internet_access:fee;layer;leisure;level;name;note;opening_hours;operator;organic;phone;ref;restaurant;shop;smoking;source;source:date;stars;takeaway;toilets;tourism;tstamp;uid;user;version;website;wheelchair;wifi
node/175358654;1.4996559;43.5712029;;;;;;;;fast_food;;;377243;;;;;;;;;;;;;;;;;;;;;;;Quick;;;;;;;;;;;;;;;;2008-07-03T02:49:29Z;6975;ulfl;2;;;
node/247685861;1.4579757;43.5975482;;;;;;;;restaurant;;;14804936;;;;;;;;;;;;;;;;;;;;;;;Le Chai Saint-Sauveur;;;;;;;;;;;;;;;;2013-01-27T11:07:05Z;1685;Pinpin;4;;;
node/250665866;1.3910333;43.5784981;;;;;;;;restaurant;;;10364036;;;;;;;;;;;;;;;;;;;;;;;Les Folles Saisons;;;;;;;;;;;;;;;;2012-01-11T21:22:01Z;297482;don-vip;2;;;
node/367033283;1.379883;43.6089866;;;;;;;;restaurant;;;868608;;;;;;;;;;;;;;;;;;;;;;;La Flambée;;;;;;;;;;;;;;;;2009-03-29T22:32:42Z;90488;ger4rd;1;;;
node/415750945;1.3879098;43.609284;;;;;;;;restaurant;;;1423212;;;;;;;;;;;;;;;;;;;;;;;Le Moulin de Toulouse;;;;;;;;;;;;;;;;2009-06-04T21:16:26Z;90488;ger4rd;1;;;
node/423230924;1.4435662;43.6050168;;;;;;;;fast_food;;;17873328;;;;burger;;;;;;;;;;;;;;;;;;;McDonald's;;;;;;;;;;;;;;;;2013-09-16T20:38:25Z;388649;Luuuddooo;7;;no;
node/423230927;1.448407;43.6052837;;;;;;;;fast_food;;;12235477;;;;burger;;;;;;;;;;;;;;;;;;;McDonald's;;;;;;;;;;;;;;;;2012-07-15T22:21:04Z;722137;OSMF Redaction Account;5;;;
node/423230930;1.4482526;43.6057862;;;;1 ;31000;Boulevard de Strasbourg;;fast_food;;;13844597;;;;burger;;;;;;;;;;;;;;;;;;;Quick;;;;;;;;;;;;;;;;2012-11-12T11:12:32Z;625998;ppmax;5;;;
node/423867109;1.4218162;43.5950102;;;;;;;;restaurant;;;1564452;;;;;;;;;;;;;;;;;;;;;;;Les Brochettes;;;;;;;;;;;;;;;;2009-06-19T15:33:43Z;89861;xschaeffer;2;;;
node/423867110;1.4213992;43.5961883;;Toulouse;;;;Avenue de Lombez;;restaurant;;;20661873;;;;italian;;;;;;;;;;;;;;;;;;;Pizza Zio;;;;;;;;;;;;;;;;2014-02-19T19:59:21Z;1897475;PatrickFR;3;;;
node/423867111;1.4189626;43.5911067;;;;;;;;fast_food;;;19067824;;;;italian;;;;;;;;;;;;;;;;;;;Pizza Félix;;;;;;;;;;;;;;;;2013-11-23T09:12:26Z;214703;B_Piguet;3;;;
node/423867112;1.4196682;43.5920215;;;;;;;;fast_food;;;8047284;;;;kebab;;;;;;;;;;;;;;;;;;;Keb-up;;;;;;;;;;;;;;;;2011-05-04T11:52:10Z;89861;xschaeffer;3;;;
node/435610058;1.4520933;43.6114157;;;;;;;;restaurant;;;17730857;;;;;;;Hôtel - Café - Brasserie;;;;;;;;;;;;;;;;Le Bristol;;;;;;;;;;;;0;;;hotel;2013-09-08T13:11:49Z;388649;Luuuddooo;2;;;
node/446312325;1.4639088;43.5824513;;;;;;;;restaurant;;;6905044;;;;;;;;;;;;;;;;;;;;;;;La Clef des Champs;;;;;;;;;;;;;;;;2011-01-08T16:32:28Z;26867;Florian Birée;3;;;
