id;raison_sociale;mobile;mail;latitude;longitude;type;categorie;adresse;code_postale;commune;telephone;internet;classement;marque;tourisme;;
1;Le Cap;;;44.641613;-1.2031785;Restaurant;Cuisine traditionnelle;1  avenue Notre Dame des Passes;33120;ARCACHON;+33 5 56 54 53 93;;;;;1; avenue Notre Dame des Passes
2;Le Chipiron;;;44.656445;-1.147182;Restaurant;Cuisine traditionnelle;11  rue de la Pècherie;33120;ARCACHON;+33 5 57 52 06 33;www.lechipiron.com;;;;11; rue de la Pècherie
3;Le Grand Bleu;;;44.65762;-1.1495486;Restaurant;Cuisine traditionnelle;30  boulevard de la Plage;33120;ARCACHON;+33 5 56 54 92 92;http://restaurant-le-grand-bleu.com;;;;30; boulevard de la Plage
4;Le Thiers;;;44.66328;-1.166554;Restaurant;Cuisine traditionnelle;9  boulevard Veyrier Montagnères;33120;ARCACHON;+33 5 56 83 33 17;www.lethiers.com;;;;9; boulevard Veyrier Montagnères
5;Le Cabestan;;;44.662136;-1.1644613;Restaurant;Cuisine traditionnelle;6 bis  avenue du Général de Gaulle;33120;ARCACHON;+33 5 56 83 18 62;www.everyoneweb.com/restaurantlecabestan;;;;6 bis; avenue du Général de Gaulle
6;La Table du Boucher;;;44.662052;-1.1723828;Restaurant;Cuisine traditionnelle;16  rue du Mal de Lattre de Tassigny;33120;ARCACHON;+33 5 56 54 06 28;;;;;16; rue du Mal de Lattre de Tassigny
7;Le Petit Louvre Café;;;44.661083;-1.1709651;Restaurant;Cuisine traditionnelleBrasserie;14 place Lucien de Gracia ;33120;ARCACHON;+33 5 57 15 73 59;;;;;14 place Lucien de Gracia;
8;Le Victoria;;;44.663227;-1.1682272;Restaurant;Cuisine traditionnelleBrasserie;26  boulevard Veyrier Montagnères;33120;ARCACHON;+33 5 56 83 07 75;;;;;26; boulevard Veyrier Montagnères
9;Café de la Plage-Restaurant Chez Pierre;;;44.66343;-1.166062;Restaurant;Cuisine traditionnelleBrasserie;1  boulevard Veyrier Montagnères;33120;ARCACHON;+33 5 56 22 52 94;www.cafedelaplage.com;;;;1; boulevard Veyrier Montagnères
10;Bar-restaurant du Soleil;;;44.652702;-1.194849;Restaurant;Cuisine traditionnelleBrasserieCrèperieGrillRestauration rapide;Avenue des Goà«lands plage Péreire;33120;ARCACHON;+33 5 56 83 90 74;;;;;Avenue des Goà«lands;plage Péreire
11;Le Floréal;;;44.65988;-1.1665611;Restaurant;Cuisine traditionnelleBrasseriePizzeria;49  boulevard du Général Leclerc;33120;ARCACHON;+33 5 56 83 48 44;;;;;49; boulevard du Général Leclerc
12;Le Royal Moulleau;;;44.641;-1.2018309;Restaurant;Cuisine traditionnellePizzeria;2  rue du Débarcadère;33120;ARCACHON;+33 5 56 54 57 45;www.le-royal-moulleau.com;;;;2; rue du Débarcadère
13;La Cantina;;;44.660027;-1.1532485;Restaurant;Pizzeria;55 boulevard de la Plage ;33120;ARCACHON;+33 5 56 66 59 33;www.lacantinaarcachon.fr;;;;55 boulevard de la Plage;
14;La Pizzéria;;;44.66189;-1.1712405;Restaurant;Pizzeria;19 rue Jehenne ;33120;ARCACHON;+33 5 56 83 20 46;;;;;19 rue Jehenne;
15;Le Bassano;;;44.657246;-1.1486734;Restaurant;Pizzeria;18 boulevard de la Plage ;33120;ARCACHON;+33 5 56 54 89 52;;;;;18 boulevard de la Plage;
16;L'Italien;;;44.648357;-1.190619;Restaurant;Pizzeria;288  boulevard de la Côte d'Argent;33120;ARCACHON;+33 5 56 54 01 14;;;;;288; boulevard de la Côte d'Argent
17;Pizzéria Cap Péreire;;;44.65832;-1.1933358;Restaurant;Pizzeria;1  avenue du Parc Pereire;33120;ARCACHON;+33 5 56 83 24 01;www.restaurantcappereire.com;;;;1; avenue du Parc Pereire
18;Stekam;;;44.661797;-1.1724746;Restaurant;Pizzeria;13 Rue du Maréchal de Lattre de Tassigny ;33120;ARCACHON;+33 5 56 83 24 24;;;;;13 Rue du Maréchal de Lattre de Tassigny;
19;Le Pirate;;;44.663116;-1.1697993;Restaurant;PizzeriaBrasserie;12 boulevard Marcel Gounouilhou ;33120;ARCACHON;+33 5 56 83 08 58;www.lepiratearcachon.com;;;;12 boulevard Marcel Gounouilhou;
20;ARCCA;;;44.66038;-1.172571;Restaurant;Restauration à  thème;39  rue Maréchal de Lattre de Tassigny;33120;ARCACHON;+33 5 57 52 00 42;;;;;39; rue Maréchal de Lattre de Tassigny
21;Palais d'Asie;;;44.66006;-1.172626;Restaurant;Restauration à  thème;43 bis  rue Mal de Lattre de Tassigny;33120;ARCACHON;+33 5 56 83 84 79;;;;;43 bis; rue Mal de Lattre de Tassigny
22;Phénix d'Or;;;44.66134;-1.1675295;Restaurant;Restauration à  thème;30  avenue Lamartine;33120;ARCACHON;+33 5 57 52 25 49;;;;;30; avenue Lamartine
23;Al Mounia;;;44.660698;-1.1654523;Restaurant;Restauration à  thème;43  cours Hericart de Thury;33120;ARCACHON;+33 5 56 83 76 03;www.almounia-arcachon.com;;;;43; cours Hericart de Thury
24;Le Jardin;;;44.64134;-1.20037;Restaurant;Restauration à  thème;23 rue Notre Dame des Passes Le Moulleau;33120;ARCACHON;+33 6 82 44 14 55;www.restaurantlejardin.com;;;;23 rue Notre Dame des Passes;Le Moulleau
25;L'Aurès;;;44.657017;-1.1478593;Restaurant;Restauration à  thème;5  rue du port;33120;ARCACHON;+33 5 56 83 97 16;http://arcachon.lamaisondutouriste.com/restaurant-aures/index.html;;;;5; rue du port
26;L'Atlantide;;;44.656277;-1.1472498;Restaurant;Restauration à  thème;52 boulevard Mestrézat ;33120;ARCACHON;+33 5 56 83 03 36;;;;;52 boulevard Mestrézat;
27;Au pique assiette;;;44.660213;-1.1542583;Restaurant;Restauration à  thème;84 bis boulevard de la Plage ;33120;ARCACHON;+33 5 56 83 78 33;www.aupiqueassiette.com;;;;84 bis boulevard de la Plage;
28;Le Beacher Restaurant;;;44.65832;-1.1933358;Restaurant;Restauration à  thèmeCuisine traditionnelle;1  avenue du Parc Péreire;33120;ARCACHON;+33 5 56 83 24 01;www.restaurantcappereire.com;;;;1; avenue du Parc Péreire
29;Les Tropiques;;;44.663116;-1.1697993;Restaurant;Restauration rapide;12  boulevard Marcel Gounouilhou;33120;ARCACHON;+33 5 56 83 20 83;;;;;12; boulevard Marcel Gounouilhou
30;Sandwichs et Companini;;;44.663116;-1.1697993;Restaurant;Restauration rapide;8  boulevard Marcel Gounouilhou;33120;ARCACHON;+33 5 56 83 34 25;;;;;8; boulevard Marcel Gounouilhou
31;Tutti Frutti;;;44.66254;-1.1671766;Restaurant;Restauration rapide;230  boulevard de la Plage;33120;ARCACHON;+33 5 56 83 50 38;;;;;230; boulevard de la Plage
