id;raison_sociale;mobile;mail;latitude;longitude;type;categorie;description;adresse;code_postale;commune;telephone;internet;fin
31045;Chez Zoreille;;;43.5980208;1.4299942;restaurant;Réunionais;;5 Place Jean Diébold;31300;Toulouse;5;www;end
31001;Le Chai Saint-Sauveur;;;43.5975482;1.4579757;restaurant;;; ;;;;;end
31002;Les Folles Saisons;;;43.5784981;1.3910333;restaurant;;; ;;;;;end
31003;La Flambée;;;43.6089866;1.379883;restaurant;;; ;;;;;end
31004;Le Moulin de Toulouse;;;43.609284;1.3879098;restaurant;;; ;;;;;end
31005;Les Brochettes;;;43.5950102;1.4218162;restaurant;;; ;;;;;end
31006;Pizza Zio;;;43.5961883;1.4213992;restaurant;italian;; Avenue de Lombez;;Toulouse;;;end
31007;Le Bristol;;;43.6114157;1.4520933;restaurant;;Hôtel - Café - Brasserie; ;;;;;end
31008;La Clef des Champs;;;43.5824513;1.4639088;restaurant;;; ;;;;;end
31009;La Belle Équipe;;;43.5978289;1.4432082;restaurant;;; ;;;;;end
31010;L'Assiette Japon;;;43.600864;1.4407123;restaurant;japanese;; ;;;33561215091;http://www.assiette-japon.com/;end
31011;La Cave au Cassoulet;;;43.6020508;1.4410597;restaurant;regional;; ;;;;;end
31012;O Sushi Bar;;;43.6028477;1.441671;restaurant;japanese;; ;;;;;end
31013;La Gouaille;;;43.5984095;1.4438498;restaurant;;; ;;;;;end
31014;Baan Siam;;;43.5984055;1.4447266;restaurant;thai;; ;;;;;end
31015;Émile;;;43.6022479;1.4472215;restaurant;;; ;;;;;end
31016;Van Gogh;;;43.6018041;1.4480283;restaurant;;; ;;;;;end
31017;Le Palais du Sourire;;;43.5790724;1.423828;restaurant;chinese;; ;;;;;end
31018;La Romarine;;;43.5712783;1.4249448;restaurant;pizza;; ;;;;;end
31019;Le Compans Café;;;43.6099745;1.4343971;restaurant;brasserie;; ;;;;;end
31020;Café Italien;;;43.5976385;1.4442701;restaurant;italian;;9B Place des Carmes;;;;;end
31021;Chinese;;;43.6084881;1.4562851;restaurant;;; ;;;;;end
31022;Texas Café;;;43.6060042;1.4506051;restaurant;;;26 Rue Castellane;;;;;end
31023;Chez Carmen;;;43.6005058;1.4286303;restaurant;meat;; ;;;;;end
31024;Cinecita;;;43.604516;1.4487859;restaurant;;; ;;;;;end
31025;Le Bon Vivre;;;43.6053082;1.4471994;restaurant;regional;; ;;;;;end
31026;Bistrot de l'Etoile;;;43.6014759;1.4530607;restaurant;;; ;;;;;end
31027;La Madeleine de Proust;;;43.6013391;1.4540134;restaurant;;; ;;;;;end
31028;Fun Kebab;;;43.6055475;1.4587673;restaurant;kebab;; ;;;;;end
31029;Pizza K;;;43.6052935;1.4581853;restaurant;pizza;; ;;;;;end
31030;Le Phare Felu;;;43.6096838;1.4436461;restaurant;crepe;; ;;;;;end
31031;Le Bla Bla;;;43.6098111;1.4433758;restaurant;;; ;;;;;end
31032;Au bon manger;;;43.6031462;1.4563634;restaurant;french;; ;;;;;end
31033;La Paniolade;;;43.6199311;1.4240702;restaurant;;; ;;;;;end
31034;Chez Raymond;;;43.5979023;1.4295167;restaurant;;; ;;;;;end
31035;L'Oncle Pom;;;43.6061963;1.4552164;restaurant;regional;; ;;;;;end
31036;Atmosphère;;;43.6058813;1.4541352;restaurant;;; ;;;;;end
31037;Chez Nous les Libanais;;;43.6020076;1.4406582;restaurant;lebanese;; ;;;;;end
31038;Le Ver Luisant;;;43.6044929;1.4537445;restaurant;;; ;;;;;end
31039;Mumtaj;;;43.6044608;1.4535158;restaurant;indian;; ;;;;;end
31040;La Réserve;;;43.6021082;1.4408518;restaurant;;; ;;;;;end
31041;Aux Délices du Liban;;;43.6062037;1.4541191;restaurant;;; ;;;;;end
31042;Chez Jules;;;43.6061057;1.453415;restaurant;;; ;;;;;end
31043;;;;43.6063871;1.455512;restaurant;;; ;;;;;end
31044;Mille et une pâtes;;;43.5980072;1.429907;restaurant;;; ;;;;;end
31046;La Pastasciutta;;;43.606307;1.4548914;restaurant;;; ;;;;;end
31047;L'entre potes;;;43.6022951;1.4382982;restaurant;;; ;;;;;end
31048;Le Capelou;;;43.6056532;1.4283488;restaurant;;; ;;;;;end
31049;La Mécanique des Fluides;;;43.60722;1.4537334;restaurant;;; ;;;;;end
31050;La Bouche Gourmande;;;43.5506323;1.4017498;restaurant;;; ;;;;;end
31051;L'Emulation Nautique;;;43.5909526;1.4365773;restaurant;;; ;;;;;end
31052;La Cantina;;;43.5976665;1.4314979;restaurant;;; ;;;;;end
31053;Caffe Luce;;;43.5988974;1.4327583;restaurant;italian;; ;;;;;end
31054;Kashmir;;;43.5988952;1.4331487;restaurant;indian;; ;;;;;end
31055;L'Accessoire;;;43.596443;1.4328376;restaurant;regional;; ;;;;;end
31056;L'envers du Décor;;;43.6025661;1.4376759;restaurant;;; ;;;;;end
31057;Olaf;;;43.6023971;1.4380809;restaurant;;; ;;;;;end
31058;L'assiette Rose;;;43.6023476;1.4381775;restaurant;;; ;;;;;end
31059;L'Italien;;;43.6020728;1.4385717;restaurant;pizza;; ;;;;;end
31060;4 Z'arts;;;43.6017756;1.439473;restaurant;french;; ;;;33561239177;http://www.restaurant-4zarts.com/;end
31061;Fairy Chiks;;;43.6017892;1.4399102;restaurant;pancake;Salon de Thé - Crêperie; ;;;;;end
31062;Le bistro de la Daurade;;;43.6018241;1.4400097;restaurant;;; ;;;33561136310;http://bistrodeladaurade.com/;end
31063;Les Fondues de la Daurade;;;43.6018533;1.4400714;restaurant;;Salades Géantes - Grillades - Raclette à Volonté; ;;;33561120404;;end
31064;Monsieur Tout Le Monde;;;43.6024958;1.4412894;restaurant;;; ;;;33561232011;;end
31065;La Maison du Nems;;;43.6029079;1.4417926;restaurant;asian;; ;;;;;end
31066;SushiYaki;;;43.6018041;1.4421762;restaurant;japanese;; ;;;;;end
31067;Le Taj;;;43.6017352;1.440893;restaurant;indian;; ;;;33561218444;http://www.restaurant-taj.fr/;end
31068;La Petite Gouaille;;;43.6016063;1.4408263;restaurant;;; ;;;;;end
31069;Le Poisson Vagabond;;;43.6015494;1.4407998;restaurant;;; ;;;;;end
31070;Le Solilesse;;;43.6013635;1.4407281;restaurant;french;; ;;;;http://www.solilesse.com;end
31071;Le Shaman;;;43.6099445;1.4392299;restaurant;indian;; ;;;;;end
31072;Le Mange-Tout;;;43.6091335;1.4390825;restaurant;regional;; ;;;;;end
31073;La Gaîté!;;;43.609304;1.4387168;restaurant;french;; ;;;;http://www.la-gaite.com/;end
31074;Mamie et les Ours;;;43.6091938;1.4389973;restaurant;regional;; ;;;33561215533;;end
31075;Bois et Charbon;;;43.6047665;1.4547253;restaurant;;; ;;;;;end
31076;Le Craquelin;;;43.5651774;1.3885337;restaurant;;; ;;;;;end
31077;Tourneflam;;;43.5731679;1.3828753;restaurant;;; ;;;;;end
31078;Metrhotel;;;43.5696541;1.389785;restaurant;;; ;;;;;end
31079;Le Cri de la Truffe;;;43.5984964;1.4438251;restaurant;;; ;;;;;end
31080;Le 7ième Ciel;;;43.5984924;1.443704;restaurant;;; ;;;;;end
31081;Sazio;;;43.5984049;1.4429975;restaurant;;; ;;;;;end
31082;La Maison du Cassoulet;;;43.6059585;1.4480901;restaurant;;; ;;;;;end
31083;Hippopotamus;;;43.6058692;1.448176;restaurant;;; ;;;;;end
31084;L'Épicurien;;;43.6006098;1.4514356;restaurant;;Restaurant - Salon de Thé; ;;;;;end
31085;Epilogue;;;43.6006259;1.4513418;restaurant;french;; ;;;;http://www.epilogue-brasserie.fr/;end
31086;La Grillée;;;43.6005225;1.4508244;restaurant;;; ;;;;;end
31087;L'Aubrac;;;43.6044013;1.451322;restaurant;regional;; ;;;;;end
31088;Le Kyoto;;;43.5702386;1.4553913;restaurant;;; ;;;;;end
31089;Le Brennus;;;43.5747479;1.4515229;restaurant;french;; ;;;;;end
31090;;;;43.5798874;1.4494288;restaurant;;; ;;;;;end
31091;Le beaucoup;;;43.5998884;1.441016;restaurant;;; ;;;;;end
