id;raison_sociale;mobile;mail;latitude;longitude;type;categorie;marque;adresse;code_postale;commune;telephone;internet;tourisme
31045;Chez Zoreille;;;43.5980208;1.4299942;restaurant;Réunionais;;5 Place Jean Diébold;31300;Toulouse;5;;
31001;Le Chai Saint-Sauveur;;;43.5975482;1.4579757;restaurant;;; ;;;;;
31002;Les Folles Saisons;;;43.5784981;1.3910333;restaurant;;; ;;;;;
31003;La Flambée;;;43.6089866;1.379883;restaurant;;; ;;;;;
31004;Le Moulin de Toulouse;;;43.609284;1.3879098;restaurant;;; ;;;;;
31005;Les Brochettes;;;43.5950102;1.4218162;restaurant;;; ;;;;;
31006;Pizza Zio;;;43.5961883;1.4213992;restaurant;italian;; Avenue de Lombez;;Toulouse;;;
31007;Le Bristol;;;43.6114157;1.4520933;restaurant;;Hôtel - Café - Brasserie; ;;;;;
31008;La Clef des Champs;;;43.5824513;1.4639088;restaurant;;; ;;;;;
31009;La Belle Équipe;;;43.5978289;1.4432082;restaurant;;; ;;;;;
31010;L'Assiette Japon;;;43.600864;1.4407123;restaurant;japanese;; ;;;33561215091;www.assiette-japon.com;
31011;La Cave au Cassoulet;;;43.6020508;1.4410597;restaurant;regional;; ;;;;;
31012;O Sushi Bar;;;43.6028477;1.441671;restaurant;japanese;; ;;;;;
31013;La Gouaille;;;43.5984095;1.4438498;restaurant;;; ;;;;;
31014;Baan Siam;;;43.5984055;1.4447266;restaurant;thai;; ;;;;;
31015;Émile;;;43.6022479;1.4472215;restaurant;;; ;;;;;
31016;Van Gogh;;;43.6018041;1.4480283;restaurant;;; ;;;;;
31017;Le Palais du Sourire;;;43.5790724;1.423828;restaurant;chinese;; ;;;;;
31018;La Romarine;;;43.5712783;1.4249448;restaurant;pizza;; ;;;;;
31019;Le Compans Café;;;43.6099745;1.4343971;restaurant;brasserie;; ;;;;;
31020;Café Italien;;;43.5976385;1.4442701;restaurant;italian;;9B Place des Carmes;;;;;
31021;Chinese;;;43.6084881;1.4562851;restaurant;;; ;;;;;
31022;Texas Café;;;43.6060042;1.4506051;restaurant;;;26 Rue Castellane;;;;;
31023;Chez Carmen;;;43.6005058;1.4286303;restaurant;meat;; ;;;;;
31024;Cinecita;;;43.604516;1.4487859;restaurant;;; ;;;;;
31025;Le Bon Vivre;;;43.6053082;1.4471994;restaurant;regional;; ;;;;;
31026;Bistrot de l'Etoile;;;43.6014759;1.4530607;restaurant;;; ;;;;;
31027;La Madeleine de Proust;;;43.6013391;1.4540134;restaurant;;; ;;;;;
31028;Fun Kebab;;;43.6055475;1.4587673;restaurant;kebab;; ;;;;;
31029;Pizza K;;;43.6052935;1.4581853;restaurant;pizza;; ;;;;;
31030;Le Phare Felu;;;43.6096838;1.4436461;restaurant;crepe;; ;;;;;
31031;Le Bla Bla;;;43.6098111;1.4433758;restaurant;;; ;;;;;
31032;Au bon manger;;;43.6031462;1.4563634;restaurant;french;; ;;;;;
31033;La Paniolade;;;43.6199311;1.4240702;restaurant;;; ;;;;;
31034;Chez Raymond;;;43.5979023;1.4295167;restaurant;;; ;;;;;
31035;L'Oncle Pom;;;43.6061963;1.4552164;restaurant;regional;; ;;;;;
31036;Atmosphère;;;43.6058813;1.4541352;restaurant;;; ;;;;;
31037;Chez Nous les Libanais;;;43.6020076;1.4406582;restaurant;lebanese;; ;;;;;
31038;Le Ver Luisant;;;43.6044929;1.4537445;restaurant;;; ;;;;;
31039;Mumtaj;;;43.6044608;1.4535158;restaurant;indian;; ;;;;;
31040;La Réserve;;;43.6021082;1.4408518;restaurant;;; ;;;;;
31041;Aux Délices du Liban;;;43.6062037;1.4541191;restaurant;;; ;;;;;
31042;Chez Jules;;;43.6061057;1.453415;restaurant;;; ;;;;;
31043;;;;43.6063871;1.455512;restaurant;;; ;;;;;
31044;Mille et une pâtes;;;43.5980072;1.429907;restaurant;;; ;;;;;
31046;La Pastasciutta;;;43.606307;1.4548914;restaurant;;; ;;;;;
31047;L'entre potes;;;43.6022951;1.4382982;restaurant;;; ;;;;;
31048;Le Capelou;;;43.6056532;1.4283488;restaurant;;; ;;;;;
31049;La Mécanique des Fluides;;;43.60722;1.4537334;restaurant;;; ;;;;;
31050;La Bouche Gourmande;;;43.5506323;1.4017498;restaurant;;; ;;;;;
31051;L'Emulation Nautique;;;43.5909526;1.4365773;restaurant;;; ;;;;;
31052;La Cantina;;;43.5976665;1.4314979;restaurant;;; ;;;;;
31053;Caffe Luce;;;43.5988974;1.4327583;restaurant;italian;; ;;;;;
31054;Kashmir;;;43.5988952;1.4331487;restaurant;indian;; ;;;;;
31055;L'Accessoire;;;43.596443;1.4328376;restaurant;regional;; ;;;;;
31056;L'envers du Décor;;;43.6025661;1.4376759;restaurant;;; ;;;;;
31057;Olaf;;;43.6023971;1.4380809;restaurant;;; ;;;;;
31058;L'assiette Rose;;;43.6023476;1.4381775;restaurant;;; ;;;;;
31059;L'Italien;;;43.6020728;1.4385717;restaurant;pizza;; ;;;;;
31060;4 Z'arts;;;43.6017756;1.439473;restaurant;french;; ;;;33561239177;www.restaurant-4zarts.com/;
31061;Fairy Chiks;;;43.6017892;1.4399102;restaurant;pancake;Salon de Thé - Crêperie; ;;;;;
31062;Le bistro de la Daurade;;;43.6018241;1.4400097;restaurant;;; ;;;33561136310;bistrodeladaurade.com/;
